fixture	sheet	target	kind	leg	reads	bytes	result
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	Z100	cell	A-base	reads=7	bytes=4733	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	Z100	cell	B-fix	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	CSE Array Spill Cases	Z100	cell	C-fix+gate	reads=10	bytes=9322	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A1	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A1	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A1	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A1:E5	cells	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A1:E5	cells	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A1:E5	cells	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A2	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A2	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	A2	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	AA1	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	AA1	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	AA1	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B1	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B1	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B1	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B1:B50	cells	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B1:B50	cells	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B1:B50	cells	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B2	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B2	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	B2	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	BA50	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	BA50	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	BA50	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	C3	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	C3	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	C3	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	D4	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	D4	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	D4	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	E5	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	E5	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	E5	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	H680	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	H680	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	H680	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	M29	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	M29	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	M29	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	Z100	cell	A-base	reads=8	bytes=4841	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	Z100	cell	B-fix	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Implicit intersection Operator	Z100	cell	C-fix+gate	reads=11	bytes=9508	Err(Invalid("shared formula master at (14, 4) is not first in 'D11:D14'"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A1	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A1	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A1	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A1:E5	cells	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A1:E5	cells	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A1:E5	cells	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A2	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A2	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	A2	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	AA1	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	AA1	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	AA1	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B1	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B1	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B1	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B1:B50	cells	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B1:B50	cells	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B1:B50	cells	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B2	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B2	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	B2	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	BA50	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	BA50	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	BA50	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	C3	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	C3	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	C3	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	D4	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	D4	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	D4	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	E5	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	E5	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	E5	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	H680	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	H680	cell	B-fix	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	H680	cell	C-fix+gate	reads=12	bytes=12206	Err(Invalid("worksheet formula expression is empty"))
test-data/libreoffice-core/sc/qa/unit/data/functions/dynamic_array/xlsx/DynamicArrayFixture.xlsx	Spill Operator	M29	cell	A-base	reads=9	bytes=6205	Err(Invalid("worksheet mergeCells appears before sheetData"))
