single	multi	sheets	sheet	target	cycle	detail	path
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	A6	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/enhanced-protection.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Лист1	F28	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Munka1	B5	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/external-link-path-missing.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/sharedStrings'	1	Invoice_sample	A3	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://purl.oclc.org/ooxml/officeDocument/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/external-link-path-startup.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no-target	3	Sheet1	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/fontSize.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	4	Sheet1	B5	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/formats.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	B1	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/headerFooterTest.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no-target	2	Sheet1	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/hyperlink.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Munka1	A1	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/hyperlink_export.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Munka1	A1	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/hyperlink_formula.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Error	D4	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/hyperlinks.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	yes	2	Sheet1	A5	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/named-ranges-global.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Planilha1	A3	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/named-ranges-hidden.xlsx
yes	yes	1	Sheet1	B1	cycle-err	OPC package error: XML publication rejected for '/xl/workbook.xml': noncompact XML FormattingWhitespace at byte 55	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/noSharedStringTable.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	Sheet1	A10	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sample.xlsx
read-err	-	-	-	-	-	invalid XLSX structure: shared-string count exceeds 2147483647	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/shared-strings-malformed-count.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Label	B41	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/shared_formulas.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Hoja1	A5	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sharedhyperlink.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no-target	5	S&P	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sheet-names.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	стр1	ER25	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sheet-state-show.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no-target	4	Green	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sheet-tab-color.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no-target	3	Foglio1	-	no-target	-	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sheetProtection_allLocked.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	B1	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sheetProtection_not_protected.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	consumos	B4	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sortconditionref.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Tabelle1	A10	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/sortconditionref2.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet2	A39	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/style-alternate-content.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	3	Sheet1	A11	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/styles.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Tabelle1	C9	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/table-sample.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	D7	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/tableStyle.xlsx
no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	1	Sheet1	F5	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/test_conditional_formatting.xlsx
no:invalid XLSX structure: value-only edits currently require exactly one worksheet	no:invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	2	Sheet1	B2	cycle-err	invalid XLSX structure: value-only edits refuse workbook relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings'	/home/zhuhe/code/litchi-worktrees/0657/test-data/ooxml/xlsx/universal-content.xlsx
